Language	Fraction	DepLen
Persian_2.6	2	-17.2568225861
Persian_2.6	3	-19.5196819305
Persian_2.6	4	-20.6590824127
Persian_2.6	5	-20.9306735992
Persian_2.6	6	-20.3201675415
Persian_2.6	7	-18.6898288727
Persian_2.6	8	-15.6644258499
Persian_2.6	9	-10.4406661987
Persian_2.6	10	2.37617397308
Greek_2.6	0	-9.92490005493
Greek_2.6	1	-31.7978916168
Greek_2.6	2	-36.7704315186
Greek_2.6	3	-38.6120185852
Greek_2.6	4	-38.5566596985
Greek_2.6	5	-36.9017448425
Greek_2.6	6	-33.7746620178
Greek_2.6	7	-28.6504249573
Greek_2.6	8	-21.2857112885
Greek_2.6	9	-10.5834169388
Greek_2.6	10	9.92490005493
Polish_2.6	0	0.126017868519
Polish_2.6	1	-7.09420490265
Polish_2.6	2	-9.90344333649
Polish_2.6	3	-11.6729097366
Polish_2.6	4	-12.8000736237
Polish_2.6	5	-13.3772640228
Polish_2.6	6	-13.4304285049
Polish_2.6	7	-12.8289766312
Polish_2.6	8	-11.3324394226
Polish_2.6	9	-8.41834449768
Polish_2.6	10	-0.126017868519
Basque_2.6	0	0.943045854568
Basque_2.6	1	-8.31115627289
Basque_2.6	2	-12.0216112137
Basque_2.6	3	-14.0668764114
Basque_2.6	4	-15.1895036697
Basque_2.6	5	-15.509013176
Basque_2.6	6	-15.1019191742
Basque_2.6	7	-13.8670091629
Basque_2.6	8	-11.6546173096
Basque_2.6	9	-8.10041809082
Basque_2.6	10	-0.943045854568
Gothic_2.6	0	0.832946181297
Gothic_2.6	1	-6.06075334549
Gothic_2.6	2	-8.58513736725
Gothic_2.6	3	-10.1512670517
Gothic_2.6	4	-11.1180934906
Gothic_2.6	5	-11.6304521561
Gothic_2.6	6	-11.7539367676
Gothic_2.6	7	-11.4144630432
Gothic_2.6	8	-10.2471065521
Gothic_2.6	9	-7.91148042679
Gothic_2.6	10	-0.832946181297
Urdu_2.6	0	-4.58678388596
Urdu_2.6	1	-18.602684021
Urdu_2.6	2	-22.9619884491
Urdu_2.6	3	-25.0898914337
Urdu_2.6	4	-25.8009319305
Urdu_2.6	5	-25.4908313751
Urdu_2.6	6	-24.0835399628
Urdu_2.6	7	-21.4102916718
Urdu_2.6	8	-17.1601486206
Urdu_2.6	9	-10.3639039993
Urdu_2.6	10	4.58678388596
Amharic_2.6	0	1.02797114849
Amharic_2.6	1	-6.95019245148
Amharic_2.6	2	-10.1832017899
Amharic_2.6	3	-11.8890428543
Amharic_2.6	4	-12.7020759583
Amharic_2.6	5	-12.6657438278
Amharic_2.6	6	-12.1123809814
Amharic_2.6	7	-10.8403778076
Amharic_2.6	8	-8.86024856567
Amharic_2.6	9	-6.13470029831
Amharic_2.6	10	-1.02797114849
